"Stemming, m",Charge Per Hole,"Average Spacing, m","Average Burden, m","Diameter, mm"
3.5,13.47158,5.7,4.5,152
3.5,13.035,5.6,4.5,152
3.75,12.91026,5.5,4.5,152
3.75,12.91026,5.5,4.5,152
3.75,12.91026,5.6,4.5,152
4.25,11.78763,5.4,4.5,152
3.8,12.798,5.3,4.5,152
3.6,13.02859,5.3,4.5,152
3.5,13.25919,5.4,4.5,152
3.2,14.14516,5.5,4.5,152
3.6,12.798,5.6,4.5,152
3.8,12.324,5.5,4.5,152
3.9,12.087,5.5,4.5,152
3.9,12.57347,5.4,4.5,152
3.6,13.24705,5.7,4.5,152
3.8,12.798,5.7,4.5,152
3.9,12.57347,5.6,4.5,152
3.9,12.798,5.5,4.5,152
3.6,13.24705,5.6,4.5,152
4,12.34895,5.4,4.5,152
3.8,12.798,5.4,4.5,152
3.9,12.57347,5.4,4.5,152
3.8,12.798,5.3,4.5,152
4.25,11.78763,5.4,4.3,152
4,12.05609,5.2,4.5,152
4,12.34895,5.4,4.5,152
3.9,12.33681,5.5,4.5,152
4,12.34895,5.3,4.5,152
3.5,13.035,5.5,4.5,152
4.3,11.139,5.3,4.3,152
4.25,11.78763,5.3,4.5,152
4.25,11.78763,5.4,4.5,152
4,12.10622,5.5,4.5,152
4,11.85,5.2,4.3,152
3.75,12.4425,5.6,4.5,152
3.75,12.91026,5.5,4.5,152
3.6,13.24705,5.6,4.5,152
3.75,12.91026,5.4,4.5,152
4,12.34895,5.8,4.1,152
4,12.34895,5.7,4.2,152
4,12.34895,6,4.3,152
3.9,12.33681,5.7,4.3,152
4,12.34895,5.8,4.2,152
3.9,12.33681,5.6,4.3,152
4,12.34895,5.7,4.2,152
4.1,11.87562,5.6,4.3,152
4,11.85,5.4,4.5,152
4,11.85,5.6,4.2,152
3.8,12.24323,5.7,4.1,152
3.6,13.24705,5.6,4.5,152
2.7,6.283571,3.8,2.8,100
2.8,6.209647,3.75,2.9,100
3,6.256757,4,3,100
3,6.256757,3.9,3.05,100
3,5.892727,3.95,3,100
2.8,6.173333,3.9,2.95,100
3,6.256757,4,3,100
2.8,6.173333,4.1,3,100
2.75,6.648205,4.2,2.9,100
3,6.173333,4.1,3,100
2.8,6.245116,4,2.9,100
3,5.991765,4.2,3.2,100
3.1,5.482895,4.1,3.2,100
2.9,6.276222,3.8,3,100
2.8,6.245116,4.1,2.9,100
2.7,6.318588,3.9,2.9,100
2.8,6.173333,4.1,3,100
2.9,6.100706,4.2,3,100
3,5.991765,4.1,3,100
3,5.952857,4,3.1,100
2.8,6.245116,3.8,2.9,100
3,5.991765,4.1,3,100
3,5.991765,4.05,3.1,100
2.8,6.245116,4,3,100
2.8,6.209647,3.9,2.9,100
2.8,6.379111,3.85,2.95,100
2.8,6.410769,3.7,2.9,100
2.7,6.247711,3.8,2.8,100
2.9,6.208409,3.8,2.9,100
2.9,6.242697,3.7,3.05,100
2.9,6.276222,3.9,3,100
3,6.103182,4,3,100
3.5,13.035,5.8,4.5,152
3.5,13.035,5.6,4.5,152
3.5,13.035,5.7,4.5,152
3.75,13.12615,5.8,4.5,152
3.75,12.91026,5.6,4.5,152
3.9,12.57347,5.4,4.5,152
3.8,12.798,5.5,4.5,152
3.8,12.798,5.4,4.5,152
4,12.34895,5.5,4.5,152
4.25,11.78763,5.3,4.5,152
4.1,12.12442,5.3,4.5,152
3.25,12.66469,5.75,3.75,152
3.6,13.24705,5.5,4.5,152
3.6,12.29612,5.25,4.5,152
3.5,13.25919,5.5,4.5,152
3.7,12.561,5.4,4.4,152
3.5,13.035,5.5,4.5,152
3.5,12.798,5.6,4.5,152
3.5,13.035,5.5,4.5,152
3.6,12.798,5.8,4.5,152
2.9,6.173333,4.1,3.05,100
3,5.556,4,3,100
2.6,6.492644,3.9,2.9,100
2.8,6.313636,3.8,2.9,100
2.8,6.456973,3.9,2.9,100
2.9,6.208409,3.95,2.95,100
3.1,5.997955,4,3.2,100
2.8,6.346742,3.85,2.95,100
3,6.173333,3.9,3,100
2.8,6.313636,3.95,2.95,100
3,6.256757,4,3,100
2.7,6.352791,3.85,2.8,100
2.9,6.100706,3.95,2.95,100
